# time, speed, Torque, roll, rollrate, steer, steerrate
0.001,0.021003742865141915,0,0.010000121099711184,-1.556368924690731e-08,0.00012109876356317373,0.0
0.002,0.026593904657380794,0,0.010000409909624008,-1.6712533203867816e-08,0.000288808171883579,-1.1488439569605048e-06
0.003,0.03320770501269726,0,0.01000089662677297,2.6470984534116634e-08,0.000486715137301884,4.3183517737984446e-05
0.004,0.03932845240982087,0,0.010001604912475094,1.4021382723516985e-07,0.0007082836536447497,0.00011374284270105322
0.005,0.0444931461188187,0,0.01000255479778804,3.4586181764703674e-07,0.0009498834610258594,0.00020564799041186688
0.006,0.048607221483704006,0,0.010003763515439596,6.598004979016952e-07,0.0012087161971898299,0.0003139386802546584
0.007,0.04074517497955661,0,0.01000516202070447,1.018265703530187e-06,0.0013985108458415938,0.0003584652056284918
0.008,0.03649788497548597,0,0.01000681456482172,1.4496261661110116e-06,0.0016525496455453072,0.0004313604625808246
0.009000000000000001,0.03808862341751976,0,0.010008657062677694,2.0795691196138294e-06,0.0018424983384767325,0.0006299429535028178
0.010000000000000002,0.038847174040622774,0,0.01001072956990316,2.836934278936609e-06,0.0020725043524691383,0.0007573651593227798
0.011000000000000003,0.03842223773906518,0,0.010013037506189064,3.7202059438834503e-06,0.002307931139381837,0.0008832716649468411
0.012000000000000004,0.036845830897672585,0,0.010015584277552671,4.736322406925549e-06,0.0025467647761838303,0.0010161164630420984
0.013000000000000005,0.03442605178571355,0,0.010018371939029875,5.8932910771471335e-06,0.002787654057927351,0.0011569686702215848
0.014000000000000005,0.03159272218886474,0,0.01002140059706545,7.1981857912398185e-06,0.003028650259126004,0.001304894714092685
0.015000000000000006,0.02881065422354532,0,0.010024668268069822,8.656140304968993e-06,0.003267663249243402,0.001457954513729174
0.016000000000000007,0.026545588035848562,0,0.010028170960602913,1.026988433310614e-05,0.003502685072048508,0.0016137440281371468
0.017000000000000008,0.025215893585072948,0,0.010031902893687168,1.2039683509607462e-05,0.0037319260714529377,0.0017697991765013223
0.01800000000000001,0.025081367149560357,0,0.010035856830565886,1.396353997908968e-05,0.003953930359100517,0.0019238564694822175
0.01900000000000001,0.026129450714837806,0,0.01004002449496656,1.6037527057204276e-05,0.0041676583409044,0.0020739870781145966
0.02000000000000001,0.028094593781541506,0,0.010044397019882235,1.8256173084004546e-05,0.004372519242761,0.0022186460268002702
0.02100000000000001,0.030605306147540156,0,0.01004896537900823,2.06128489698121e-05,0.004568353760902711,0.002356675885807553
0.022000000000000013,0.0333181944825597,0,0.010053720764861272,2.310013894547156e-05,0.004755380732848299,0.0024872899756594596
0.023000000000000013,0.03597321872651088,0,0.01005865489586904,2.5710185674946175e-05,0.004934126096184439,0.002610046729474616
0.024000000000000014,0.038397041625181115,0,0.010063760250152324,2.843500470658434e-05,0.005105349572600108,0.0027248190316381646
0.025000000000000015,0.040489171022547996,0,0.01006903023318344,3.1266764073051616e-05,0.0052699785388441184,0.0028317593664672768
0.026000000000000016,0.04220634371839861,0,0.01007445929010242,3.419802538961416e-05,0.00542905268193792,0.0029312613165625415
0.027000000000000017,0.0435490560827175,0,0.010080042973009141,3.722194387869151e-05,0.005583678973842763,0.0030239184890773515
0.028000000000000018,0.044550387337471936,0,0.01008577797115845,4.0332426307096896e-05,0.005734994573881967,0.003110482428405386
0.02900000000000002,0.04526652157496917,0,0.010091662109343182,4.3524247488021564e-05,0.005884135016244163,0.0031918211809246685
0.03000000000000002,0.04576840768985206,0,0.010097694317835207,4.679312745608092e-05,0.006032205768094712,0.0032688799680593537
0.03100000000000002,0.046134164415979985,0,0.010103874576362226,5.013577251881597e-05,0.00618025626576714,0.0033426450627350554
0.03200000000000002,0.04644204313620968,0,0.010110203834590454,5.3549884071826554e-05,0.00632925642203464,0.003414111553010581
0.03300000000000002,4.692660541639116,0,0.01011479623967187,5.390912381338157e-05,0.004591471472747718,0.0003592397415550191
0.03400000000000002,4.28367328854748,0,0.010117646358760024,5.086685937309306e-05,0.0028464656408359493,-0.00304226444028851
0.035000000000000024,4.040329527622707,0,0.010118963102294484,4.418499102092442e-05,0.0013117499662017675,-0.0066818683521686455
0.036000000000000025,3.9448289694491114,0,0.01011928375173229,3.410964834292489e-05,0.00031760102870747117,-0.010075342677999529
0.037000000000000026,3.9393325930063052,0,0.01011917964259133,2.150273135256687e-05,-0.00010374159100975666,-0.012606916990358017
0.03800000000000003,3.9893165804908564,0,0.010118970862412906,7.162281407332173e-06,-0.00020535823939272572,-0.014340449945234698
0.03900000000000003,4.055309294361144,0,0.010118987587434274,-7.955227052706076e-06,2.1372000029783008e-05,-0.015117508460038249
0.04000000000000003,4.125577765468153,0,0.010119133433674718,-2.3066170656664302e-05,0.0001502237221464803,-0.015110943603958225
0.04100000000000003,4.18064464121406,0,0.010119457321351645,-3.780236476705799e-05,0.00032675326412174655,-0.014736194110393688
0.04200000000000003,4.230888653737118,0,0.010119714538576017,-5.170533258557876e-05,0.00025827543487542054,-0.013902967818520769
0.04300000000000003,4.248269788459656,0,0.010119856521602855,-6.573063965081546e-05,0.00014134003523810044,-0.014025307065236704
0.04400000000000003,3.999959645575803,0,0.010121314737154252,-7.722302577763658e-05,0.001457824909223642,-0.011492386126821113
0.04500000000000003,3.9090320948218364,0,0.01012289297853256,-8.872352004702841e-05,0.001578309456956342,-0.011500494269391835
0.046000000000000034,3.905295383752475,0,0.010124378083991858,-0.00010050895300422807,0.001485119223342523,-0.011785432957199657
0.047000000000000035,3.9137167909379764,0,0.010125910662286386,-0.00011223972765946194,0.001532568125013573,-0.011730774655233865
